_MEMBER_Activated_Mfs,_MEMBER_Resident_Mfs,_LogP_Activated_Mfs,_LogP_Resident_Mfs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,1,-15.700480096566636,-11.001539092671145,R-MMU-6798695,M11,2,0,Reactome Gene Sets,6,Neutrophil degranulation,,-19.491348799483283,3.2822440300571647,11.363075111521459,15189,464,748,75,10.026737967914439,1.0982109433476515,11674|11758|11886|11980|12266|12267|12512|12514|13014|13030|13032|13033|13036|13040|13057|13058|13627|13629|14130|14319|14751|14824|14825|14972|14990|15439|15442|15481|15511|15516|15519|15926|16410|16411|16592|16783|16970|17105|17159|17319|18033|18173|18405|18636|18641|18648|18733|18792|19025|19156|19261|19325|22320|24088|26949|27060|28240|52855|56615|64138|66824|67963|72461|74096|75612|76763|105722|107767|193740|216134|232413|232801|269523|433375|100037258,Aldoa|Prdx6|Asah1|Atp8a1|C3|C3ar1|Cd63|Cd68|Cstb|Ctsb|Ctsc|Ctsd|Ctsh|Ctss|Cyba|Cybb|Eef1a1|Eef2|Fcgr2b|Fth1|Gpi1|Grn|Cxcl1|H2-K1|H2-M2|Hp|Hpse|Hspa8|Hspa1b|Hsp90ab1|Hsp90aa1|Idh1|Itgav|Itgax|Fabp5|Lamp1|Irag2|Lyz2|Man2b1|Mif|Nfkb1|Slc11a1|Orm1|Cfp|Pfkl|Pgam1|Pirb|Plau|Ctsa|Psap|Sirpa|Rab10|Vamp8|Tlr2|Vat1|Tcirg1|Trpm2|Lair1|Mgst1|Ctsz|Pycard|Npc2|Prcp|Hvcn1|Gns|Mospd2|Ano6|Scamp1|Hspa1a|Pdxk|Clec12a|Lilra5|Vcp|Creg1|Dnajc3,-15.121242994052905,0,1,1,1,-19.491348799483283,3.2822440300571647,
1,1,-9.658058954242138,-10.79690006477481,GO:0030335,M11,2,0,GO Biological Processes,19,positive regulation of cell migration,19_GO:0040011 locomotion,-15.220428483828494,2.7460273659771253,9.599398755951626,15189,562,748,76,10.16042780748663,1.104686472517666,11350|11433|11502|11629|11674|11745|11852|11853|11980|12043|12267|12317|12978|13036|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|15507|15945|16149|16159|16410|16411|16412|16476|16854|16859|17387|17390|17918|18124|18438|18590|18591|18708|18792|19141|20304|20352|20541|20620|20656|20779|21813|22339|23991|24088|27226|52822|66102|66824|67299|68750|70097|74030|76089|76499|76763|83433|93695|105722|107895|108058|108101|214968|227541|330662|384783,Abl1|Acp5|Adam9|Aif1|Aldoa|Anxa3|Rhob|Rhoc|Atp8a1|Bcl2|C3ar1|Calr|Csf1r|Ctsh|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Hspb1|Cxcl10|Cd74|Il12a|Itgav|Itgax|Itgb1|Jun|Lgals3|Lgals9|Mmp14|Mmp2|Myo5a|Nr4a3|P2rx4|Pdgfa|Pdgfb|Pik3r1|Plau|Lgmn|Ccl5|Sema4b|Slc8a1|Plk2|Sod2|Src|Tgfbr2|Vegfa|Cib1|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rin2|Rapgef2|Clasp2|Mospd2|Trem2|Gpnmb|Ano6|Mgat5|Camk2d|Fermt3|Sema6d|Camk1d|Dock1|Irs2,-11.151352674062096,0,2,1,1,-15.220428483828494,3.537200276004831,
1,1,-9.216729294577725,-10.302449314974702,GO:2000147,M11,2,0,GO Biological Processes,19,positive regulation of cell motility,19_GO:0040011 locomotion,-14.465495858022964,2.6608058270330077,9.28164751381415,15189,580,748,76,10.16042780748663,1.104686472517666,11350|11433|11502|11629|11674|11745|11852|11853|11980|12043|12267|12317|12978|13036|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|15507|15945|16149|16159|16410|16411|16412|16476|16854|16859|17387|17390|17918|18124|18438|18590|18591|18708|18792|19141|20304|20352|20541|20620|20656|20779|21813|22339|23991|24088|27226|52822|66102|66824|67299|68750|70097|74030|76089|76499|76763|83433|93695|105722|107895|108058|108101|214968|227541|330662|384783,Abl1|Acp5|Adam9|Aif1|Aldoa|Anxa3|Rhob|Rhoc|Atp8a1|Bcl2|C3ar1|Calr|Csf1r|Ctsh|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Hspb1|Cxcl10|Cd74|Il12a|Itgav|Itgax|Itgb1|Jun|Lgals3|Lgals9|Mmp14|Mmp2|Myo5a|Nr4a3|P2rx4|Pdgfa|Pdgfb|Pik3r1|Plau|Lgmn|Ccl5|Sema4b|Slc8a1|Plk2|Sod2|Src|Tgfbr2|Vegfa|Cib1|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rin2|Rapgef2|Clasp2|Mospd2|Trem2|Gpnmb|Ano6|Mgat5|Camk2d|Fermt3|Sema6d|Camk1d|Dock1|Irs2,-10.572511307312247,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-8.864691223264945,-9.908064455433285,GO:0040017,M11,2,0,GO Biological Processes,19,positive regulation of locomotion,19_GO:0040011 locomotion,-13.86464937346074,2.593726688536377,9.025839707082236,15189,595,748,76,10.16042780748663,1.104686472517666,11350|11433|11502|11629|11674|11745|11852|11853|11980|12043|12267|12317|12978|13036|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|15507|15945|16149|16159|16410|16411|16412|16476|16854|16859|17387|17390|17918|18124|18438|18590|18591|18708|18792|19141|20304|20352|20541|20620|20656|20779|21813|22339|23991|24088|27226|52822|66102|66824|67299|68750|70097|74030|76089|76499|76763|83433|93695|105722|107895|108058|108101|214968|227541|330662|384783,Abl1|Acp5|Adam9|Aif1|Aldoa|Anxa3|Rhob|Rhoc|Atp8a1|Bcl2|C3ar1|Calr|Csf1r|Ctsh|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Hspb1|Cxcl10|Cd74|Il12a|Itgav|Itgax|Itgb1|Jun|Lgals3|Lgals9|Mmp14|Mmp2|Myo5a|Nr4a3|P2rx4|Pdgfa|Pdgfb|Pik3r1|Plau|Lgmn|Ccl5|Sema4b|Slc8a1|Plk2|Sod2|Src|Tgfbr2|Vegfa|Cib1|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rin2|Rapgef2|Clasp2|Mospd2|Trem2|Gpnmb|Ano6|Mgat5|Camk2d|Fermt3|Sema6d|Camk1d|Dock1|Irs2,-10.096603559358323,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-5.128240496813343,-5.834718120246595,GO:0010634,M11,2,0,GO Biological Processes,19,positive regulation of epithelial cell migration,19_GO:0040011 locomotion,-8.053047982904483,3.537200276004831,7.225797479924673,15189,155,748,27,3.609625668449198,0.6820200114077923,11350|11502|11745|11852|12317|13036|14751|14824|15200|15251|15368|15507|16476|18438|18591|19141|20620|20779|21813|22339|23991|68750|70097|74030|76499|330662|384783,Abl1|Adam9|Anxa3|Rhob|Calr|Ctsh|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hspb1|Jun|P2rx4|Pdgfb|Lgmn|Plk2|Src|Tgfbr2|Vegfa|Cib1|Rreb1|Sash1|Rin2|Clasp2|Dock1|Irs2,-5.18809215579401,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-5.520958213171907,-5.947233088403226,GO:0010632,M11,2,0,GO Biological Processes,19,regulation of epithelial cell migration,19_GO:0040011 locomotion,-7.813943737207379,2.9379110251450675,6.813833790918645,15189,235,748,34,4.545454545454546,0.7616161902719154,11350|11502|11745|11816|11852|12317|12512|13036|14026|14645|14751|14824|15200|15251|15368|15507|16476|16600|18438|18591|19141|20620|20779|21813|22339|23991|68750|69216|70097|72461|74030|76499|330662|384783,Abl1|Adam9|Anxa3|Apoe|Rhob|Calr|Cd63|Ctsh|Evl|Glul|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hspb1|Jun|Klf4|P2rx4|Pdgfb|Lgmn|Plk2|Src|Tgfbr2|Vegfa|Cib1|Rreb1|Svbp|Sash1|Prcp|Rin2|Clasp2|Dock1|Irs2,-5.0349025388034985,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-5.547005824651611,-3.3154792562426603,GO:0045766,M11,2,0,GO Biological Processes,19,positive regulation of angiogenesis,19_GO:0032502 developmental process,-6.499700531050172,3.153128840468994,6.250788755311555,15189,161,748,25,3.342245989304813,0.6571836591610128,11350|11745|11852|12266|12267|13036|13051|13058|14388|14824|15251|15277|15368|15442|15507|16411|16412|16451|16600|16854|20193|20304|21813|22339|70097,Abl1|Anxa3|Rhob|C3|C3ar1|Ctsh|Cx3cr1|Cybb|Gab1|Grn|Hif1a|Hk2|Hmox1|Hpse|Hspb1|Itgax|Itgb1|Jak1|Klf4|Lgals3|S100a1|Ccl5|Tgfbr2|Vegfa|Sash1,-4.06409317686336,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-5.547005824651611,-3.3154792562426603,GO:1904018,M11,2,0,GO Biological Processes,19,positive regulation of vasculature development,19_GO:0032502 developmental process,-6.499700531050172,3.153128840468994,6.250788755311555,15189,161,748,25,3.342245989304813,0.6571836591610128,11350|11745|11852|12266|12267|13036|13051|13058|14388|14824|15251|15277|15368|15442|15507|16411|16412|16451|16600|16854|20193|20304|21813|22339|70097,Abl1|Anxa3|Rhob|C3|C3ar1|Ctsh|Cx3cr1|Cybb|Gab1|Grn|Hif1a|Hk2|Hmox1|Hpse|Hspb1|Itgax|Itgb1|Jak1|Klf4|Lgals3|S100a1|Ccl5|Tgfbr2|Vegfa|Sash1,-4.06409317686336,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-5.001370668410238,-2.6484287664508286,GO:0045765,M11,2,0,GO Biological Processes,19,regulation of angiogenesis,19_GO:0032502 developmental process,-5.284316681227734,2.371521136656388,5.213971064609166,15189,274,748,32,4.278074866310161,0.7399103519816443,11350|11745|11852|12266|12267|13036|13051|13058|14388|14645|14824|15251|15277|15368|15442|15507|15945|16411|16412|16451|16600|16854|16878|18655|20193|20304|20620|21813|22339|67784|70097|192187,Abl1|Anxa3|Rhob|C3|C3ar1|Ctsh|Cx3cr1|Cybb|Gab1|Glul|Grn|Hif1a|Hk2|Hmox1|Hpse|Hspb1|Cxcl10|Itgax|Itgb1|Jak1|Klf4|Lgals3|Lif|Pgk1|S100a1|Ccl5|Plk2|Tgfbr2|Vegfa|Plxnd1|Sash1|Stab1,-3.0969534769204743,0,2,0,0,-15.220428483828494,3.537200276004831,
1,1,-4.902117819954962,-2.580434165244251,GO:1901342,M11,2,0,GO Biological Processes,19,regulation of vasculature development,19_GO:0032502 developmental process,-5.152048846565146,2.3373985303735623,5.1219143718429425,15189,278,748,32,4.278074866310161,0.7399103519816443,11350|11745|11852|12266|12267|13036|13051|13058|14388|14645|14824|15251|15277|15368|15442|15507|15945|16411|16412|16451|16600|16854|16878|18655|20193|20304|20620|21813|22339|67784|70097|192187,Abl1|Anxa3|Rhob|C3|C3ar1|Ctsh|Cx3cr1|Cybb|Gab1|Glul|Grn|Hif1a|Hk2|Hmox1|Hpse|Hspb1|Cxcl10|Itgax|Itgb1|Jak1|Klf4|Lgals3|Lif|Pgk1|S100a1|Ccl5|Plk2|Tgfbr2|Vegfa|Plxnd1|Sash1|Stab1,-3.0072523228606296,0,2,0,0,-15.220428483828494,3.537200276004831,
